,Primary Type,Year,size
0,THEFT,2001,99264
1,THEFT,2003,98875
2,THEFT,2002,98327
3,THEFT,2004,95463
4,BATTERY,2002,94153
5,BATTERY,2001,93446
6,THEFT,2008,88433
7,BATTERY,2003,88378
8,BATTERY,2004,87136
9,THEFT,2006,86240
10,THEFT,2005,85685
11,THEFT,2007,85156
12,BATTERY,2005,83965
13,THEFT,2009,80973
14,BATTERY,2006,80666
15,BATTERY,2007,79591
16,THEFT,2010,76756
17,BATTERY,2008,75922
18,THEFT,2012,75460
19,THEFT,2011,75149
20,THEFT,2013,71530
21,BATTERY,2009,68462
22,BATTERY,2010,65403
23,THEFT,2018,65068
24,THEFT,2017,64344
25,THEFT,2016,61603
26,THEFT,2014,61563
27,BATTERY,2011,60458
28,BATTERY,2012,59135
29,THEFT,2015,57337
30,CRIMINAL DAMAGE,2006,57124
31,NARCOTICS,2004,57060
32,NARCOTICS,2005,56234
33,CRIMINAL DAMAGE,2002,55940
34,CRIMINAL DAMAGE,2001,55851
35,NARCOTICS,2006,55813
36,CRIMINAL DAMAGE,2003,55011
37,CRIMINAL DAMAGE,2005,54548
38,NARCOTICS,2007,54454
39,NARCOTICS,2003,54288
40,BATTERY,2013,54002
41,CRIMINAL DAMAGE,2007,53749
42,CRIMINAL DAMAGE,2004,53164
43,CRIMINAL DAMAGE,2008,52841
44,NARCOTICS,2002,51789
45,NARCOTICS,2001,50567
46,BATTERY,2016,50290
47,BATTERY,2018,49779
48,BATTERY,2014,49447
49,BATTERY,2017,49214
50,BATTERY,2015,48919
51,CRIMINAL DAMAGE,2009,47724
52,NARCOTICS,2008,46507
53,NARCOTICS,2009,43543
54,NARCOTICS,2010,43393
55,CRIMINAL DAMAGE,2010,40653
56,NARCOTICS,2011,38605
57,CRIMINAL DAMAGE,2011,37332
58,CRIMINAL DAMAGE,2012,35854
59,NARCOTICS,2012,35488
60,NARCOTICS,2013,34127
61,ASSAULT,2002,31521
62,ASSAULT,2001,31384
63,CRIMINAL DAMAGE,2016,31018
64,CRIMINAL DAMAGE,2013,30853
65,ASSAULT,2003,29477
66,NARCOTICS,2014,29117
67,CRIMINAL DAMAGE,2017,29042
68,ASSAULT,2004,28850
69,CRIMINAL DAMAGE,2015,28675
70,CRIMINAL DAMAGE,2018,27804
71,CRIMINAL DAMAGE,2014,27798
72,VEHICLE THEFT,2001,27549
73,ASSAULT,2005,27066
74,BURGLARY,2009,26766
75,BURGLARY,2011,26619
76,BURGLARY,2010,26422
77,ASSAULT,2007,26313
78,BURGLARY,2008,26218
79,BURGLARY,2001,26011
80,ASSAULT,2006,25945
81,BURGLARY,2002,25623
82,BURGLARY,2005,25503
83,ASSAULT,2008,25447
84,BURGLARY,2003,25156
85,VEHICLE THEFT,2002,25121
86,BURGLARY,2007,24858
87,BURGLARY,2004,24564
88,BURGLARY,2006,24324
89,NARCOTICS,2015,23884
90,ASSAULT,2009,22861
91,BURGLARY,2012,22843
92,VEHICLE THEFT,2004,22805
93,VEHICLE THEFT,2003,22748
94,VEHICLE THEFT,2005,22497
95,VEHICLE THEFT,2006,21818
96,ASSAULT,2010,21536
97,ASSAULT,2011,20411
98,ASSAULT,2018,20375
99,ASSAULT,2012,19898
100,VEHICLE THEFT,2011,19388
101,ASSAULT,2017,19303
102,VEHICLE THEFT,2010,19029
103,DECEPTIVE PRACTICE,2017,19018
104,VEHICLE THEFT,2008,18881
105,DECEPTIVE PRACTICE,2016,18856
106,ASSAULT,2016,18740
107,DECEPTIVE PRACTICE,2018,18692
108,VEHICLE THEFT,2007,18573
109,ROBBERY,2002,18522
110,ROBBERY,2001,18441
111,ASSAULT,2013,17972
112,BURGLARY,2013,17894
113,ROBBERY,2003,17332
114,ASSAULT,2015,17045
115,ASSAULT,2014,16902
116,ROBBERY,2008,16703
117,CRIMINAL TRESPASS,2005,16655
118,VEHICLE THEFT,2012,16492
119,DECEPTIVE PRACTICE,2015,16048
120,ROBBERY,2005,16047
121,ROBBERY,2009,15980
122,ROBBERY,2004,15978
123,ROBBERY,2006,15968
124,CRIMINAL TRESPASS,2004,15913
125,DECEPTIVE PRACTICE,2014,15705
126,VEHICLE THEFT,2009,15482
127,ROBBERY,2007,15450
128,DECEPTIVE PRACTICE,2001,14908
129,DECEPTIVE PRACTICE,2008,14896
130,CRIMINAL TRESPASS,2003,14807
131,BURGLARY,2014,14570
132,CRIMINAL TRESPASS,2006,14505
133,BURGLARY,2016,14287
134,ROBBERY,2010,14274
135,DECEPTIVE PRACTICE,2007,14151
136,ROBBERY,2011,13983
137,CRIMINAL TRESPASS,2002,13880
138,DECEPTIVE PRACTICE,2009,13823
139,DECEPTIVE PRACTICE,2013,13740
140,DECEPTIVE PRACTICE,2002,13717
141,CRIMINAL TRESPASS,2007,13699
142,DECEPTIVE PRACTICE,2012,13634
143,DECEPTIVE PRACTICE,2006,13588
144,DECEPTIVE PRACTICE,2005,13570
145,ROBBERY,2012,13485
146,DECEPTIVE PRACTICE,2003,13452
147,NARCOTICS,2016,13293
148,DECEPTIVE PRACTICE,2004,13247
149,CRIMINAL TRESPASS,2001,13240
150,BURGLARY,2015,13183
151,BURGLARY,2017,13001
152,NARCOTICS,2018,12963
153,DECEPTIVE PRACTICE,2011,12650
154,VEHICLE THEFT,2013,12582
155,DECEPTIVE PRACTICE,2010,12502
156,CRIMINAL TRESPASS,2008,12310
157,ROBBERY,2016,11960
158,ROBBERY,2017,11877
159,ROBBERY,2013,11820
161,BURGLARY,2018,11732
162,NARCOTICS,2017,11658
163,VEHICLE THEFT,2017,11406
164,VEHICLE THEFT,2016,11294
165,CRIMINAL TRESPASS,2009,10851
166,VEHICLE THEFT,2015,10068
167,VEHICLE THEFT,2018,9988
168,VEHICLE THEFT,2014,9912
169,ROBBERY,2014,9799
170,ROBBERY,2018,9683
171,ROBBERY,2015,9639
173,CRIMINAL TRESPASS,2010,9401
174,CRIMINAL TRESPASS,2011,8659
175,CRIMINAL TRESPASS,2012,8216
176,CRIMINAL TRESPASS,2013,8136
177,CRIMINAL TRESPASS,2014,7539
178,CRIMINAL TRESPASS,2018,6904
179,CRIMINAL TRESPASS,2017,6812
180,CRIMINAL TRESPASS,2015,6401
181,CRIMINAL TRESPASS,2016,6308
